trade_name,concentration,company,pharmaceutical_form,display_name
Amindrate,0comb,Pharma moon Pharmaceutical,Hard Gelatin Capsules,Amindrate 0comb
Quzyk,50mg,SAJA Pharmaceuticals Egypt - SAJA,Chewable Tablets,Quzyk 50mg
Ivabradine,0.25mg,ELI LILLY-Export S. A.,Tablets,Ivabradine 0.25mg
Adol,500mg,JULPHAR SCIENTIFIC OFFICE,Caplet,Adol 500mg
Minasone 0.1 % Ointment,1mg/gm,Minapharm company for pharmaceuticals and chemical industries,Topical Ointment,Minasone 0.1 % Ointment 1mg/gm
DIAFORMIN cream cancelled,0comb,Chemical Industries Development (CID),Topical Cream,DIAFORMIN cream cancelled 0comb
PERMAX 0.1mg tab.(Cancelled),1mg,ELI LILLY-Export S. A.,Tablets,PERMAX 0.1mg tab.(Cancelled) 1mg
Decapeptyl® 0.1 mg,0.1mg/ml,Multipharma for Pharmaceuticals and Chemicals Company,Solution for S.C injection,Decapeptyl® 0.1 mg 0.1mg/ml
SERVICLAZID,80mg,Novartis Pharma,Tablets,SERVICLAZID 80mg
FARCOMETHACIN,0.1gm,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Rectal Suppositories,FARCOMETHACIN 0.1gm
SPERSADEXOLINE eye drops (CANCELLED),0comb,Novartis Pharma,Eye Drops,SPERSADEXOLINE eye drops (CANCELLED) 0comb
ADRIBLASTINA R.D,10mg,Viatris Egypt,Lyophilized Powder,ADRIBLASTINA R.D 10mg
Trichogyl 0.5%,0.5gm/100ml,El-Nasr for Pharmaceutical Chemicals,Solution For I.V Infusion,Trichogyl 0.5% 0.5gm/100ml
STERI-SOLV(Cancelled),0UnDefined,Wagdy Youssef naguib scientific office,Topical Solution,STERI-SOLV(Cancelled) 0UnDefined
TRANXENE,10mg,Sanofi Egypt,Capsule,TRANXENE 10mg
CITRO-MAG,7.12gm,kahira pharmaceuticals and chemical industries,Effervescent Granules,CITRO-MAG 7.12gm
NOVIRUS 3 % eye ointment,3%,Glaxo smithkline,Eye Ointment,NOVIRUS 3 % eye ointment 3%
AZALIDE 40mg/ml,40mg/ml,Upper Egypt pharmaceuticals - UP Pharma,Powder for Oral Suspension,AZALIDE 40mg/ml 40mg/ml
Isomack 0.278 mg,0.278gm,EGYPTIAN PROMOTION CENTER Scientific Office,Topical Spray,Isomack 0.278 mg 0.278gm
GASTROPRIDE,20mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Tablets,GASTROPRIDE 20mg
REFRESH PLUS,0.5%,Abbvie scientific office,Eye Drops,REFRESH PLUS 0.5%
OXYMERIA,0.1gm/100ml,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Mouth Wash and Gargle,OXYMERIA 0.1gm/100ml
Polyderm,0comb,Amriya for Pharmaceutical Industries,Topical Cream,Polyderm 0comb
Neurontin 400 mg,400mg,Viatris Egypt,Capsule,Neurontin 400 mg 400mg
TETRACID,250mg,Chemical Industries Development (CID),Hard Gelatin Capsules,TETRACID 250mg
VINIL CALMISTIN,0comb,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Eye and Nose drops,VINIL CALMISTIN 0comb
TRIO caps.,0comb,Hikma pharma,Capsule,TRIO caps. 0comb
Eskaderm,0comb,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Topical Cream,Eskaderm 0comb
Omepral 20 mg,20mg,MEMPHIS for pharmaceuticals and chemical industries,Hard gelatin capsules containing pellets,Omepral 20 mg 20mg
FLUBENZOLE,100mg,Alfacure Pharmaceuticals,Tablets,FLUBENZOLE 100mg
ALKANAZOLE 50mg,50mg,Hikma pharma,Capsule,ALKANAZOLE 50mg 50mg
ACNISONE,0comb,Global NAPI Pharmaceuticals - GNP,Topical Lotion,ACNISONE 0comb
NEURONTIN,100mg,Viatris Egypt,Capsule,NEURONTIN 100mg
Nalidram,500mg,MEMPHIS for pharmaceuticals and chemical industries,Tablets,Nalidram 500mg
VEGASKINE pediatric,0comb,Alexandria Co. For Pharmaceuticals and Chemical Industries,Rectal Suppositories,VEGASKINE pediatric 0comb
VEGASKINE Compound,0comb,Alexandria Co. For Pharmaceuticals and Chemical Industries,Rectal Suppositories,VEGASKINE Compound 0comb
POTASSIUM CHLORIDE 7.45 % I.V.injection,7.45%,Vacsera EGY-Blood,solution for intravenous injection,POTASSIUM CHLORIDE 7.45 % I.V.injection 7.45%
SODIUM BICARBONATE 2.1% I.V.injection,2.1%,Inco Pharma Egypt,Lyophilized Powder,SODIUM BICARBONATE 2.1% I.V.injection 2.1%
PERMAX 0.05mg tab.(Cancelled),0.05mg,ELI LILLY-Export S. A.,Tablets,PERMAX 0.05mg tab.(Cancelled) 0.05mg
SPERSACET C eye drops(CANCELLED),0comb,Esco egypt,Eye Drops,SPERSACET C eye drops(CANCELLED) 0comb
CALCIUM CHLORIDE 1.47% I.V.injection,1.47%,Vacsera EGY-Blood,Lyophilized Powder,CALCIUM CHLORIDE 1.47% I.V.injection 1.47%
Alkanazole 150 mg,150mg,International Trading Office ITO,Hard Gelatin Capsules,Alkanazole 150 mg 150mg
Ketam,500mg/10ml,Egyptian International Pharmaceutical Industries Company (EIPICO),"Solution for IM, slow IV injection or IV infusion",Ketam 500mg/10ml
ZINOL 250 mg,250mg,Pharco B International,Powder for solution for I.M or I.V Injection,ZINOL 250 mg 250mg
NEO-DIGESTIN,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Oral Solution,NEO-DIGESTIN 0comb
PROSTACAP,50mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Soft Gelatin Capsule,PROSTACAP 50mg
FARCOLIN,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Oral Syrup,FARCOLIN 0comb
Vitamin E 400mg,400mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Soft Gelatin Capsule,Vitamin E 400mg 400mg
ECODERM 1gm cream,1gm,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Topical Cream,ECODERM 1gm cream 1gm
CEFUMAX 250mg,250mg,Pharco B International,Powder for injection,CEFUMAX 250mg 250mg
CEFUMAX 750MG,750mg,Pharco B International,"Powder in vial for I.M ,I.V injection or I.V infusion",CEFUMAX 750MG 750mg
CEFUMAX 1.5gm,1.5gm,Pharco B International,Sterile powder for reconstitution for  I.V injection or infusion or I.M injection,CEFUMAX 1.5gm 1.5gm
Fluver,100mg,Alexandria Co. For Pharmaceuticals and Chemical Industries,Tablets,Fluver 100mg
Fluver,2gm/100ml,Alexandria Co. For Pharmaceuticals and Chemical Industries,Oral Suspension,Fluver 2gm/100ml
GARMASTAN N,0.05gm,T3A Scientific Office,Topical Ointment,GARMASTAN N 0.05gm
CORONIT40 mg lentocaps.,40mg,Alexandria Co. For Pharmaceuticals and Chemical Industries,Lentocaps,CORONIT40 mg lentocaps. 40mg
THYMOGLOBULINE 25mg/5ml vial,25mg/5ml,Etimex egypt,Lyophilized Powder,THYMOGLOBULINE 25mg/5ml vial 25mg/5ml
Folifer,0comb,Misr company for Pharmaceuticals,Tablets,Folifer 0comb
CUSICROM 4% eye drops ( Not Applied for re-reg),4%,United company for distribution (U.C.D),Eye Drops,CUSICROM 4% eye drops ( Not Applied for re-reg) 4%
Imuran,50mg,VLD Healthcare,Film Coated Tablets,Imuran 50mg
OPTICURE,2%,Pharmapack pharmaceutical industries,Eye Drops,OPTICURE 2%
HELICOCIN 750/500mg f.c.tab.(CANCELLED),0comb,Esco egypt,Film Coated Tablets,HELICOCIN 750/500mg f.c.tab.(CANCELLED) 0comb
SOMINAL,60mg,Alexandria Co. For Pharmaceuticals and Chemical Industries,Tablets,SOMINAL 60mg
Leukeran,2mg,VLD Healthcare,Film Coated Tablets,Leukeran 2mg
POLYTRIM eye drops(CANCELLED),0comb,GLAXO SMITHKLINE-EGYPT Scientific Office,Eye Drops,POLYTRIM eye drops(CANCELLED) 0comb
LEUKERAN 5 mg tab.(Cancelled),5mg,Glaxo smithkline,Tablets,LEUKERAN 5 mg tab.(Cancelled) 5mg
BURNODERM H5 cream(CANCELLED),0comb,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Topical Cream,BURNODERM H5 cream(CANCELLED) 0comb
NOVA-C RETARD tab.,0comb,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Tablets,NOVA-C RETARD tab. 0comb
Indocid,25mg,kahira pharmaceuticals and chemical industries,Hard Gelatin Capsules,Indocid 25mg
DEEP HEAT topical spray,0comb,United company for distribution (U.C.D),Topical Spray,DEEP HEAT topical spray 0comb
ASPINOL,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Tablets,ASPINOL 0comb
Sine-up,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Syrup,Sine-up 0comb
ANUSOL,0comb,Hikma pharma,Topical Ointment,ANUSOL 0comb
ANUSOL,0comb,Hikma pharma,Rectal Suppositories,ANUSOL 0comb
TINEA CURE,1gm/100g,kahira pharmaceuticals and chemical industries,Powder,TINEA CURE 1gm/100g
ACAPRIL,5mg,Alfacure Pharmaceuticals,Tablets,ACAPRIL 5mg
"TRASYLOL 500,000K.I.U./50ml vial",10000K.I.U./ml,Egyptian Pharmaceutical Trading,Lyophilized Powder,"TRASYLOL 500,000K.I.U./50ml vial 10000K.I.U./ml"
AMIGRAINE ADCO,0comb,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Film Coated Tablets,AMIGRAINE ADCO 0comb
RIVO 320 mg,320mg,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Tablets,RIVO 320 mg 320mg
VITAGINS,0comb,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Soft Gelatin Capsule,VITAGINS 0comb
EGATEN,250mg,Novartis pharma Scientific Office,SCORED TABLET,EGATEN 250mg
ANUSOL HC,0comb,Hikma pharma,Topical Ointment,ANUSOL HC 0comb
ANUSOL HC,0comb,Hikma pharma,Rectal Suppositories,ANUSOL HC 0comb
ABIVIT C  1gm  eff.tab.(CANCELLED),1gm,Glaxo smithkline,Effervescent Tablet,ABIVIT C  1gm  eff.tab.(CANCELLED) 1gm
OXYTETRIN,3.33gm/100g,MEMPHIS for pharmaceuticals and chemical industries,Topical Ointment,OXYTETRIN 3.33gm/100g
Insulatard Penfill,100I.U./ml,NOVO NORDISK SCIENTIFIC OFFICE,Suspension for injection,Insulatard Penfill 100I.U./ml
ACTRAPID HM,100I.U./ml,NOVO NORDISK SCIENTIFIC OFFICE,Solution for injection,ACTRAPID HM 100I.U./ml
CALIVIT C eff.tab.(CANCELLED),0comb,Glaxo smithkline,Effervescent Tablet,CALIVIT C eff.tab.(CANCELLED) 0comb
PROCTO-GLYVENOL,0comb,Glaxo smithkline,Rectal Suppositories,PROCTO-GLYVENOL 0comb
POVIDIN 10% antiseptic solution(CANCELLED),10%,MEMPHIS for pharmaceuticals and chemical industries,Topical Solution,POVIDIN 10% antiseptic solution(CANCELLED) 10%
DEPOT INSULIN-S- HOECHST 40 i.u /ml (cancelled),40I.U.,JULPHAR SCIENTIFIC OFFICE,Vial,DEPOT INSULIN-S- HOECHST 40 i.u /ml (cancelled) 40I.U.
INSUMAN COMB 40 iu,40I.U./ml,Sanofi Egypt,Solution for injection,INSUMAN COMB 40 iu 40I.U./ml
INSUMAN BASAL,40I.U./ml,Sanofi Egypt,Lyophilized Powder,INSUMAN BASAL 40I.U./ml
INSUMAN RAPID 100I.U/ml,100I.U./ml,Sanofi Egypt,Lyophilized Powder,INSUMAN RAPID 100I.U/ml 100I.U./ml
INSUMAN COMB 25/75,100I.U./ml,Sanofi Egypt,Lyophilized Powder,INSUMAN COMB 25/75 100I.U./ml
INSUMAN BASAL,100I.U./ml,Sanofi Egypt,Vial,INSUMAN BASAL 100I.U./ml
Meclopram,2mg,Alexandria Co. For Pharmaceuticals and Chemical Industries,Oral Drops,Meclopram 2mg
Mepecaine 3%,54mg/1.8ml,Alexandria Co. For Pharmaceuticals and Chemical Industries,Solution for injection in cartridges for local injection (Infiltration or nerve block),Mepecaine 3% 54mg/1.8ml
Vental syrup,40mg/100ml,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Oral Syrup,Vental syrup 40mg/100ml
DINITRA,10mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Sublingual Tablet,DINITRA 10mg
DINITRA,20mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Sublingual Tablet,DINITRA 20mg
Glycerin For infants,0.7gm,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Rectal Suppositories,Glycerin For infants 0.7gm
DINITRA,5mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Tablets,DINITRA 5mg
Candistan,500mg/50gm,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Topical Aerosol,Candistan 500mg/50gm
CLOMIPHENE,50mg,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Tablets,CLOMIPHENE 50mg
Tomazine,10mg,Alfacure Pharmaceuticals,Film Coated Tablets,Tomazine 10mg
SEROPAR,10mg,Alfacure Pharmaceuticals,Tablets,SEROPAR 10mg
Relax,0comb,Alfacure Pharmaceuticals,Hard Gelatin Capsules,Relax 0comb
MARIAGON,140mg,Inco Pharma Egypt,Capsule,MARIAGON 140mg
POTASAVE,25mg,Alfacure Pharmaceuticals,Tablets,POTASAVE 25mg
histarhine,0comb,Amriya for Pharmaceutical Industries,Syrup,histarhine 0comb
GENTAMICIN 20 mg pediatric,20mg/2ml,Alexandria Co. For Pharmaceuticals and Chemical Industries,Solution For I.M or I.V. Injection,GENTAMICIN 20 mg pediatric 20mg/2ml
GENTAMICIN 40mg,40mg/ml,Alexandria Co. For Pharmaceuticals and Chemical Industries,"Solution for IM, slow IV injection or IV infusion",GENTAMICIN 40mg 40mg/ml
Gentamicin 80 mg /2 ml,80mg/2ml,Alexandria Co. For Pharmaceuticals and Chemical Industries,solution for I.M / slow IV injection or IV infusion,Gentamicin 80 mg /2 ml 80mg/2ml
19928CIMETIDINE 200 mg tab.(CANCELLED),200mg,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Tablets,19928CIMETIDINE 200 mg tab.(CANCELLED) 200mg
AVIL,0.3gm/100ml,Sanofi Egypt,Syrup,AVIL 0.3gm/100ml
HOSTACYCLIN,500mg,Sanofi Egypt,Film Coated Tablets,HOSTACYCLIN 500mg
SAFINACE,1.5mg,kahira pharmaceuticals and chemical industries,Tablets,SAFINACE 1.5mg
Cardixin,0.25mg,Alexandria Co. For Pharmaceuticals and Chemical Industries,Tablets,Cardixin 0.25mg
RULID,50mg,Sanofi Egypt,Tablets for oral suspension,RULID 50mg
Cyrinol,0comb,Amoun Pharmaceutical Company,Syrup,Cyrinol 0comb
Lidocaine Topical Aerosol U.S.P.2021,10%,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Topical Spray,Lidocaine Topical Aerosol U.S.P.2021 10%
TRESOLINE eye&nasal drops(CANCELLED),0comb,Glaxo smithkline,Eye and Nose drops,TRESOLINE eye&nasal drops(CANCELLED) 0comb
BERIGLOBINP,160mg/ml,2s Pharma Group,Solution for injection,BERIGLOBINP 160mg/ml
CHOLEDYL 62.5mg/5ml syrup(CANCELLED),62.5mg/5ml,Hikma pharma,Oral Syrup,CHOLEDYL 62.5mg/5ml syrup(CANCELLED) 62.5mg/5ml
Aminoleban®,0comb,Egypt Otsuka Pharmaceutical,Solution For I.V Infusion,Aminoleban® 0comb
ALUSIL chewable tab.,0comb,Misr company for Pharmaceuticals,Chewable Tablets,ALUSIL chewable tab. 0comb
CANESTEN 500mg 1vag.tab.(CANCELLED),500mg,MEMPHIS for pharmaceuticals and chemical industries,Vaginal Tablets,CANESTEN 500mg 1vag.tab.(CANCELLED) 500mg
Flagyl®,2.5gm/100ml,Sanofi Egypt,Oral Suspension,Flagyl® 2.5gm/100ml
Arcalion® 200mg,200mg,Servier Egypt,Sugar Coated Tablets,Arcalion® 200mg 200mg
DAFLON 375mg,375mg,Servier Egypt,Coated Tablet,DAFLON 375mg 375mg
Diamicron 80 mg,80mg,SERVIER EGYPT SCIENTIFIC OFFICE,Tablets,Diamicron 80 mg 80mg
NATRILIX 2.5mg,2.5mg,SERVIER EGYPT SCIENTIFIC OFFICE,Sugar Coated Tablets,NATRILIX 2.5mg 2.5mg
ORALDENE,0.005gm/5ml,Hikma pharma,Mouth Wash,ORALDENE 0.005gm/5ml
Telfast 120 mg,120mg,Opella Healthcare Egypt LLC,Film Coated Tablets,Telfast 120 mg 120mg
Telfast 180 mg,180mg,Opella Healthcare Egypt LLC,Film Coated Tablets,Telfast 180 mg 180mg
ABILAXINE,5mg,Glaxo smithkline,Coated Tablet,ABILAXINE 5mg
Ocuphenicol 0.5 %,50mg/10ml,Alexandria Co. For Pharmaceuticals and Chemical Industries,Ophthalmic Solution,Ocuphenicol 0.5 % 50mg/10ml
IMODIUM 2mg caps.(Cancelled),2mg,Minapharm company for pharmaceuticals and chemical industries,Capsule,IMODIUM 2mg caps.(Cancelled) 2mg
Glycerin For Adults,1.4gm,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Rectal Suppositories,Glycerin For Adults 1.4gm
"FRAXIPARINE 25000 ICU/ml prefilled syringe
(CANCELLED)",10250I.U.,M.M Pharma scientific office,Solution for injection,"FRAXIPARINE 25000 ICU/ml prefilled syringe
(CANCELLED) 10250I.U."
NONAN I.V. infusion,0comb,Space Medical,Solution For I.V Infusion,NONAN I.V. infusion 0comb
ALDACTAZIDE,0comb,kahira pharmaceuticals and chemical industries,Tablets,ALDACTAZIDE 0comb
GELCOSICONE,0comb,kahira pharmaceuticals and chemical industries,Oral Suspension,GELCOSICONE 0comb
SINUTAB,0comb,Hikma pharma,Tablets,SINUTAB 0comb
NAVOBAN 2mg/2ml amp.(Cancelled),2mg/2ml,Novartis Pharma,Lyophilized Powder,NAVOBAN 2mg/2ml amp.(Cancelled) 2mg/2ml
RESCULA 1.2mg/ml eye drops(CANCELLED),1.2mg/ml,Esco egypt,Eye Drops,RESCULA 1.2mg/ml eye drops(CANCELLED) 1.2mg/ml
Femara,2.5mg,Novartis Pharma,Film Coated Tablets,Femara 2.5mg
Exelon®1.5 mg,1.5mg,Novartis Pharma,Hard Gelatin Capsules,Exelon®1.5 mg 1.5mg
Cetal extra,0comb,Egyptian International Pharmaceutical Industries Company (EIPICO),Caplet,Cetal extra 0comb
DESLARGYL,5mg,kahira pharmaceuticals and chemical industries,Film Coated Tablets,DESLARGYL 5mg
Cytarine,100mg/ml,FRESENIUS KABI-SCIENTIFIC OFFICE,Solution for injection,Cytarine 100mg/ml
BILOBAGIN,40mg,rotabiogen for Pharmaceutical Investments and Chemicals,Film Coated Tablets,BILOBAGIN 40mg
Oral bivalent types 1 and 3 poliomyelitis Vacine,0comb,SANOFI  scientific office,Oral Suspension,Oral bivalent types 1 and 3 poliomyelitis Vacine 0comb
ORGOSPASM,0comb,organo for pharmaceutical & chemicals,Enteric Coated Tablet,ORGOSPASM 0comb
Bee-S forte,0comb,Gamaces leader,Soft Gelatin Capsule,Bee-S forte 0comb
MEGACOSANOL,0comb,rotabiogen for Pharmaceutical Investments and Chemicals,Soft Gelatin Capsule,MEGACOSANOL 0comb
Sterilised Water for Injection B.P. 2019,5ml,El Fath for Drugs and Cosmetics Industry (FIPCO),Sterile Water for Injection,Sterilised Water for Injection B.P. 2019 5ml
Adsorbed Tetanus VAccine BP,40I.U/0.5ml,Queen trading office QTO - Bimag Pharma,Suspension for injection,Adsorbed Tetanus VAccine BP 40I.U/0.5ml
GINOLAVIN,600mg,rotabiogen for Pharmaceutical Investments and Chemicals,Soft Gelatin Capsule,GINOLAVIN 600mg
CIRCULAVIN,0comb,rotabiogen for Pharmaceutical Investments and Chemicals,Hard Gelatin Capsules,CIRCULAVIN 0comb
silyboost 280 mg,350mg,International drug agency for pharmaceutical industry (IDI),Hard Gelatin Capsules,silyboost 280 mg 350mg
Immunoboost,100mg,El OBOUR MODERN PHARMACEUTICAL INDUSTRIES-EGYPT,Tablets,Immunoboost 100mg
Marinosil 200mg,250mg,Biocapital for Pharmaceutical and Chemical Industries,Hard Gelatin Capsules,Marinosil 200mg 250mg
MARINOSIL 140 mg,175mg,Biocapital for Pharmaceutical and Chemical Industries,Film Coated Tablets,MARINOSIL 140 mg 175mg
beejaxin 600,200mg,rotabiogen for Pharmaceutical Investments and Chemicals,Soft Gelatin Capsule,beejaxin 600 200mg
gravidanza,0comb,Egyptian Group for Pharmaceutical Industries - EGPI,Film Coated Tablets,gravidanza 0comb
beejaxin 1000,1000mg,rotabiogen for Pharmaceutical Investments and Chemicals,Soft Gelatin Capsule,beejaxin 1000 1000mg
vicamz,0comb,universal pharmaceutical industries (unipharma),Tablets,vicamz 0comb
FEMIREEM PLUS,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Hard Gelatin Capsules,FEMIREEM PLUS 0comb
Artithistle,0comb,HR Inc,Hard Gelatin Capsules,Artithistle 0comb
Sulbimicillin 750 mg,0comb,El-Nasr for Pharmaceutical Chemicals,Powder for solution for I.M or I.V Injection,Sulbimicillin 750 mg 0comb
Cytarine,100mg/ml,FRESENIUS KABI-SCIENTIFIC OFFICE,Solution for injection,Cytarine 100mg/ml
Sulbimicillin 375 mg,0comb,El-Nasr for Pharmaceutical Chemicals,Powder for solution for I.M or I.V Injection,Sulbimicillin 375 mg 0comb
Cytarine,100mg/ml,FRESENIUS KABI-SCIENTIFIC OFFICE,Solution for injection,Cytarine 100mg/ml
Sulbimicillin 1500 mg,0comb,El-Nasr for Pharmaceutical Chemicals,Powder for solution for I.M or I.V Injection,Sulbimicillin 1500 mg 0comb
Glaspytan,2.5mg,Doctor Food,Film Coated Tablets,Glaspytan 2.5mg
STOMOPRAL 40 mg,40mg,FUTURE PHARMACEUTICAL INDUSTRIES-EGYPT,Hard gelatin capsules containing enteric coated pellets,STOMOPRAL 40 mg 40mg
Creon 25000,0comb,Abbott Scientific Office,Hard Gelatin Capsules,Creon 25000 0comb
BeneFIX 500 I.U,500I.U.,Pfizer Biopharmaceuticals Egypt LLC,Powder and Solvent for Solution for injection,BeneFIX 500 I.U 500I.U.
Benefix 250 I.U,250I.U/VIAL,Pfizer Biopharmaceuticals Egypt LLC,Powder and Solvent for Solution for injection,Benefix 250 I.U 250I.U/VIAL
clonazedix 0.50 mg,0.5mg,Medix Pharmaceutical Industries,orally disintegrating Tablets,clonazedix 0.50 mg 0.5mg
Saizen liquid 6 mg,6mg/ml,Merck Limited - Egypt,Solution for S.C injection,Saizen liquid 6 mg 6mg/ml
OPILACTUOLE,3.25mg/5ml,El OBOUR MODERN PHARMACEUTICAL INDUSTRIES-EGYPT,Syrup,OPILACTUOLE 3.25mg/5ml
Pimecroderm,10mg/gm,P and C Labs - Pellets and CR Products,Topical Cream,Pimecroderm 10mg/gm
DORZOLATIMO,0comb,Borg Pharmaceutical Industries,Ophthalmic Solution,DORZOLATIMO 0comb
genesemide,20mg/5ml,Generx pharma,Oral Solution,genesemide 20mg/5ml
Glucoliptin,5mg,ATCO Pharma for Pharmaceutical Industries,Film Coated Tablets,Glucoliptin 5mg
Proticaconazole,150mg,SEA PHARM FOR PHARMACEUTICALS-EGYPT,Hard Gelatin Capsules,Proticaconazole 150mg
Osteogrow,70mg,Tabuk Health care,Tablets,Osteogrow 70mg
Privigen 2.5g/25ml,2.5gm/25ml,2s Pharma Group,Solution For I.V Infusion,Privigen 2.5g/25ml 2.5gm/25ml
PYLADIPARINE 2.5 mg,2.5mg,SAJA Pharmaceuticals Egypt - SAJA,Tablets,PYLADIPARINE 2.5 mg 2.5mg
Octodipine,0comb,October Pharma,Film Coated Tablets,Octodipine 0comb
santaliptin,100mg,General Medical Group.,Film Coated Tablets,santaliptin 100mg
Benefix 1000 IU,1000I.U.,Pfizer Biopharmaceuticals Egypt LLC,Powder and Solvent for Solution for injection,Benefix 1000 IU 1000I.U.
Nivestim 480 mcg/0.5ml,480mcg/0.5ml,Viatris Egypt,Solution for Injection/Infusion,Nivestim 480 mcg/0.5ml 480mcg/0.5ml
Cefazone plus,0comb,Pharco B International,Powder for solution for I.M or I.V Injection,Cefazone plus 0comb
Gonal- f 75 IU (10 vial),75I.U.,Merck Limited - Egypt,Powder and Solvent for Solution for injection,Gonal- f 75 IU (10 vial) 75I.U.
Panelitic,4mg,global medical,Film Coated Tablets,Panelitic 4mg
Keytruda,100mg/4ml,MERCK SHARP&DOHME SCIENTIFIC OFFICE,solution for intravenous injection,Keytruda 100mg/4ml
Taminorig,2mcg/ml,Marcyrl pharmaceutical industries - MPI,Oral Drops,Taminorig 2mcg/ml
Xafromil 400 mg,400mg,al rowad for pharmaceutical industries,Powder for Solution for I.V Infusion,Xafromil 400 mg 400mg
Rebif 22mcg,22mcg/0.5ml,Merck Limited - Egypt,Solution for injection in Pre-filled Syringe,Rebif 22mcg 22mcg/0.5ml
TAPENDOL,75mg,Adwia,Film Coated Tablets,TAPENDOL 75mg
Seratova,12.5mg,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Film Coated Tablets,Seratova 12.5mg
Ecofung,150mg,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Vaginal Pessary,Ecofung 150mg
Xafromil 600 mg,600mg,al rowad for pharmaceutical industries,Powder for Solution for I.V Infusion,Xafromil 600 mg 600mg
Colowash,0comb,P and C Labs - Pellets and CR Products,Powder for oral solution,Colowash 0comb
RASAGLILAB,1mg,P and C Labs - Pellets and CR Products,Tablets,RASAGLILAB 1mg
